Fecha,EquipoLocal,EquipoVisitante,Prob_Victoria_Local,Prob_Empate,Prob_Victoria_Visitante,golesLocalFinal,golesVisitanteFinal,golesLocalDescanso,golesVisitanteDescanso,golesLocalReal,golesVisitanteReal,Ganador
2020-11-06,Elche,Celta,60,23,15,2,1,1,0,1.0,1.0,D
2020-11-07,Huesca,Eibar,42,30,27,1,1,1,0,1.0,1.0,D
2020-11-07,Barcelona,Betis,46,26,27,1,1,1,1,5.0,2.0,H
2020-11-07,Sevilla,Osasuna,40,29,29,1,1,1,1,1.0,0.0,H
2020-11-07,Ath Madrid,Cadiz,52,25,22,2,1,1,0,4.0,0.0,H
2020-11-08,Getafe,Villarreal,43,26,29,1,1,1,1,1.0,3.0,A
2020-11-08,Sociedad,Granada,70,17,12,2,1,1,0,2.0,0.0,H
2020-11-08,Levante,Alaves,41,30,27,1,1,1,0,1.0,1.0,D
2020-11-08,Valladolid,Ath Bilbao,39,30,30,1,1,1,0,2.0,1.0,H
2020-11-08,Valencia,Real Madrid,29,28,41,1,1,0,1,4.0,1.0,H
2020-11-20,Osasuna,Huesca,55,25,19,2,1,1,0,1.0,1.0,D
2020-11-21,Levante,Elche,35,30,33,1,1,0,1,1.0,1.0,D
2020-11-21,Villarreal,Real Madrid,49,22,28,2,1,1,1,1.0,1.0,D
2020-11-21,Sevilla,Celta,53,26,20,2,1,1,0,4.0,2.0,H
2020-11-21,Ath Madrid,Barcelona,62,18,18,2,1,1,0,1.0,0.0,H
2020-11-22,Eibar,Getafe,47,27,25,1,1,1,0,0.0,0.0,D
2020-11-22,Cadiz,Sociedad,25,26,47,1,2,1,1,0.0,1.0,A
2020-11-22,Granada,Valladolid,60,23,15,2,1,1,0,1.0,3.0,A
2020-11-22,Alaves,Valencia,37,26,35,1,1,1,1,2.0,2.0,D
2020-11-23,Ath Bilbao,Betis,43,26,30,1,1,0,1,4.0,0.0,H
2020-11-27,Valladolid,Levante,52,26,21,2,1,1,0,1.0,1.0,D
2020-11-28,Elche,Cadiz,49,25,24,2,1,1,1,1.0,1.0,D
