Temporada,Fecha,EquipoLocal,GolesFavL5,GolesConL5,PuntosL5,PosicionLocal,GolesFav1L5,GolesCont1L5,EquipoVisitante, GolesFavV5,GolesConV5,PuntosV5,PosicionVisitante,GolesFav1V5,GolesCon1V5,Ganador,Goles Local,Goles Visitante,Goles Local primera parte,Goles Visitante primera parte
2020-21,4/10/2020,Cadiz,0,0,0,-1,0.0,0.0,Granada,4,7,4,8,2.0,4.0,D,1.0,1.0,0.0,1.0
2020-21,4/10/2020,Barcelona,13,7,9,4,5.0,4.0,Sevilla,9,5,9,3,4.0,2.0,D,1.0,1.0,1.0,1.0
2020-21,17/10/2020,Granada,6,10,6,5,2.0,4.0,Sevilla,5,4,12,3,2.0,1.0,H,1.0,0.0,0.0,0.0
2020-21,17/10/2020,Celta,7,1,11,7,6.0,1.0,Ath Madrid,7,4,11,4,3.0,1.0,A,0.0,2.0,0.0,1.0
2020-21,17/10/2020,Real Madrid,12,3,15,1,5.0,0.0,Cadiz,2,14,1,13,1.0,9.0,A,0.0,1.0,0.0,1.0
2020-21,17/10/2020,Getafe,2,4,4,16,1.0,3.0,Barcelona,13,5,12,6,7.0,3.0,H,1.0,0.0,0.0,0.0
2020-21,18/10/2020,Eibar,4,14,2,17,1.0,9.0,Osasuna,6,2,10,6,2.0,0.0,D,0.0,0.0,0.0,0.0
2020-21,18/10/2020,Ath Bilbao,5,6,4,18,3.0,1.0,Levante,3,10,1,13,3.0,4.0,H,2.0,0.0,0.0,0.0
2020-21,18/10/2020,Villarreal,14,5,10,10,6.0,2.0,Valencia,10,8,7,12,6.0,7.0,H,2.0,1.0,1.0,1.0
2020-21,18/10/2020,Alaves,7,9,7,15,3.0,3.0,Elche,4,8,3,20,0.0,4.0,A,0.0,2.0,0.0,1.0
2020-21,18/10/2020,Huesca,2,8,1,16,2.0,2.0,Valladolid,3,8,3,19,2.0,5.0,D,2.0,2.0,0.0,1.0
2020-21,18/10/2020,Betis,6,5,8,3,3.0,3.0,Sociedad,7,6,6,11,7.0,4.0,A,0.0,3.0,0.0,1.0
2020-21,23/10/2020,Elche,7,5,7,17,3.0,2.0,Valencia,5,7,5,12,2.0,4.0,H,2.0,1.0,2.0,0.0
2020-21,24/10/2020,Barcelona,14,2,15,6,6.0,1.0,Real Madrid,9,3,11,1,4.0,1.0,A,1.0,3.0,1.0,1.0
2020-21,24/10/2020,Osasuna,8,7,7,9,5.0,2.0,Ath Bilbao,6,4,6,18,4.0,2.0,H,1.0,0.0,0.0,0.0
